#id	domain	description	status	workflow	config_template	config_schema	dependencies	container	license
comparative-orthology-codon	comparative-genomics	Validate orthogroup protein/CDS records and build gap-free codon alignments	experimental	comparative-orthology-codon/Snakefile	comparative-orthology-codon/config.example.yaml	comparative-orthology-codon/config.schema.yaml	snakemake,python3,mafft,pal2nal.pl	ghcr.io/wzhennan-icmm/biohub-comparative:0.4.0	MIT
gene-family-cafe	comparative-genomics	Prepare and run CAFE gene-family expansion and contraction analysis	experimental	gene-family-cafe/Snakefile	gene-family-cafe/config.example.yaml	gene-family-cafe/config.schema.yaml	snakemake,python3,cafe5	ghcr.io/wzhennan-icmm/biohub-comparative:0.4.0	MIT
selection-branch-site	comparative-genomics	Run paired PAML branch-site models and summarize likelihood-ratio tests	experimental	selection-branch-site/Snakefile	selection-branch-site/config.example.yaml	selection-branch-site/config.schema.yaml	snakemake,python3,codeml	ghcr.io/wzhennan-icmm/biohub-comparative:0.4.0	MIT
dating-mcmctree	comparative-genomics	Run two-stage MCMCTree replicates and collect convergence inputs	experimental	dating-mcmctree/Snakefile	dating-mcmctree/config.example.yaml	dating-mcmctree/config.schema.yaml	snakemake,python3,mcmctree	ghcr.io/wzhennan-icmm/biohub-comparative:0.4.0	MIT
assembly-t2t-evaluate	assembly	Inventory assemblies and produce reproducible T2T evidence summaries	experimental	assembly-t2t-evaluate/Snakefile	assembly-t2t-evaluate/config.example.yaml	assembly-t2t-evaluate/config.schema.yaml	snakemake,python3,minimap2	ghcr.io/wzhennan-icmm/biohub-assembly:0.4.0	MIT
synteny-sv	comparative-genomics	Run pairwise minimap2 and SyRI structural-variation comparison	experimental	synteny-sv/Snakefile	synteny-sv/config.example.yaml	synteny-sv/config.schema.yaml	snakemake,python3,minimap2,syri	ghcr.io/wzhennan-icmm/biohub-comparative:0.4.0	MIT
population-gwas	population-genomics	Validate sample manifests and run configurable SNP GWAS workflows	experimental	population-gwas/Snakefile	population-gwas/config.example.yaml	population-gwas/config.schema.yaml	snakemake,python3,plink2	ghcr.io/wzhennan-icmm/biohub-population:0.4.0	MIT
population-selection	population-genomics	Run configured window-based population selection statistics	experimental	population-selection/Snakefile	population-selection/config.example.yaml	population-selection/config.schema.yaml	snakemake,python3,vcftools	ghcr.io/wzhennan-icmm/biohub-population:0.4.0	MIT
kmer-gwas	population-genomics	Run manifest-driven k-mer association and candidate extraction	experimental	kmer-gwas/Snakefile	kmer-gwas/config.example.yaml	kmer-gwas/config.schema.yaml	snakemake,python3,python2	not-provided-python2-eol	MIT
family-denovo-rate	variant-analysis	Track callable opportunity, candidate tiers and family mutation-rate estimates	experimental	family-denovo-rate/Snakefile	family-denovo-rate/config.example.yaml	family-denovo-rate/config.schema.yaml	snakemake,python3	ghcr.io/wzhennan-icmm/biohub-variant:0.4.0	MIT
rnaseq-deseq2	expression	Run design-aware DESeq2 differential-expression analysis	experimental	rnaseq-deseq2/Snakefile	rnaseq-deseq2/config.example.yaml	rnaseq-deseq2/config.schema.yaml	snakemake,python3,Rscript,R-package:DESeq2	ghcr.io/wzhennan-icmm/biohub-omics:0.4.0	MIT
functional-enrichment	functional-genomics	Run foreground/background GO and KEGG over-representation analysis	experimental	functional-enrichment/Snakefile	functional-enrichment/config.example.yaml	functional-enrichment/config.schema.yaml	snakemake,python3,Rscript	ghcr.io/wzhennan-icmm/biohub-omics:0.4.0	MIT
microbiome-rda	microbiome	Run constrained ordination with explicit feature, metadata and covariate inputs	experimental	microbiome-rda/Snakefile	microbiome-rda/config.example.yaml	microbiome-rda/config.schema.yaml	snakemake,python3,Rscript,R-package:vegan	ghcr.io/wzhennan-icmm/biohub-omics:0.4.0	MIT
