#id	source	description	status	note
change-scaffolds-name	run_change_scaffolds_name.py	Replace first field IDs from mapping file	implemented	No external dependencies
change-scaffolds-name-fasta	run_change_scaffolds_name_fasta.py	Rename FASTA headers with mapping table	implemented	No external dependencies
change-seqname-for-fasta	run_change_seqName_for_fasta.py	Rename headers in all *.aln files under directory	implemented	No external dependencies
convert-3line2one	run_convert_3line2one_for_SV_depth.py	Convert 3-line depth rows into one-line windows	implemented	No external dependencies
filter-seq-by-length	run_filter_seq_by_length.py	Keep FASTA records above length threshold	implemented	Fixed threshold bug in original
filter-gff-by-id	run_filter_gff_by_ID.py	Filter GFF rows by ID list	implemented	Stable parsing
filter-gtf-ctg	run_filter_gtf_ctg.py	Filter GTF/GFF rows by contig list	implemented	Stable parsing
merge-two-txt	run_merge_two_txt.py	Deduplicate rows, keep row with largest third column	implemented	No external dependencies
compare-two-blast	run_compare_two_blastFile.py	Reciprocal BLAST pair filter	implemented	No external dependencies
get-best-idy	run_get_best_idy_for_blast.py	Best identity per query from BLAST6	implemented	No external dependencies
get-best-hit-based-on-idy	run_get_best_hit_based_on_idy.py	Reciprocal best-hits by score+identity	implemented	Writes `.idy.txt`
get-best-hit-genes	run_get_best_hit_genes.py	Reciprocal best/second best e-values	implemented	Replicated logic
compare-as-and-noAS	run_compare_AS_and_noAS_results.py	Filter AS table by noAS list	implemented	Stable parsing
compare-busco-results	run_compare_busco_results.py	Compare BUSCO gene sets by species pairs	implemented	Writes `justHave.txt` and `justLost.txt`
merge-fpkm-file	run_Merge_fpkm_file.py	Merge per-gene expression values from directory	implemented	No external dependencies
save-go	run_Save_yuanyaowu_go.py	Extract GO lines from annotation table	implemented	Legacy typos fixed
merge-gos	run_merge_Gos_nr_swissprot_Trembl_Blast2gos.py	Merge GO annotations across Swissprot/nr/Trembl	implemented	EC GO terms excluded
merge-blastp-best-jcvi	run_merge_blastpBest_for_jcvi.py	Build JCVI style all-vs-all besthit matrix	implemented	Pads missing values with '.'
orthogenes	run_orthogenes.py	Deduplicate comma lists in grouped lines	implemented	No external dependencies
get-the-longest-seq	run_get_the_longest_seq.py	Pick longest transcript per gene family	implemented	Output `gene\ttranscript`
get-longest-transcript	run_get_longest_transcript.py	Alias of shortest gene parser with dot-suffix transcript grouping	implemented	Added from Python/zip reference script
