inventory_id	source_artifact	language	decision	target	verification	note
001	python-archive/FilterTxt/run_check_duplication_for_gene_pairs.py	python	integrated	command:check-duplication-gene-pairs	catalog+rust-tests	Symmetric pair deduplication rewrite
002	python-archive/annotation_VCF_python3.py	python	integrated	command:annotation-vcf	unit+cli	TSV and JSON outputs; method limits documented
003	python-archive/run_Extract_PASA_results.py	python	integrated	command:extract-pasa-results	golden-regression;publication-golden	Block-order compatibility retained
004	python-archive/run_Merge_fpkm_file.py	python	integrated	command:merge-fpkm-file	golden-regression;publication-golden	Parameterized directory input
005	python-archive/run_Save_yuanyaowu_go.py	python	integrated	command:save-go	golden-regression;publication-golden	GO line extraction
006	python-archive/run_Zhouxiaoxuan_mergeXLS.py	python	integrated	command:zhouxiaoxuan-mergexls	golden-regression;publication-golden	Historical key normalization
007	python-archive/run_change_scaffolds_name.py	python	integrated	command:change-scaffolds-name	unit+catalog	Mapping direction documented
008	python-archive/run_change_scaffolds_name_fasta.py	python	integrated	command:change-scaffolds-name-fasta	golden-regression;publication-golden	Mapped-record selection retained
009	python-archive/run_change_seqName_for_fasta.py	python	integrated	command:change-seqname-for-fasta	golden-regression;publication-golden	Batch .aln migration
010	python-archive/run_compare_AS_and_noAS_results.py	python	integrated	command:compare-as-and-noAS	golden-regression;publication-golden	Historical filtering behavior
011	python-archive/run_compare_busco_results.py	python	integrated	command:compare-busco-results	golden-regression;publication-golden	Species-pair comparison
012	python-archive/run_compare_two_blastFile.py	python	integrated	command:compare-two-blast	golden-regression;publication-golden	Reciprocal pair filtering
013	python-archive/run_convert_3line2one_for_SV_depth.py	python	integrated	command:convert-3line2one	golden-regression;publication-golden	Three-row depth conversion
014	python-archive/run_convert_GeMoMa_gff_to_gff3.py	python	integrated	command:convert-gemoma-gff3	catalog;domain-review-approved	GFF3 semantics approved in public CC0 validation pack on 2026-08-26
015	python-archive/run_convert_gene_annotation_contigs2Chr_PASA.py	python	integrated	command:convert-gene-annotation-contigs2chr-PASA	catalog;domain-review-approved	Coordinate edge cases approved in public CC0 validation pack on 2026-08-26
016	python-archive/run_convert_gene_annotation_scaffold2chr_NextGenomicsVersion.py	python	integrated	command:convert-gene-annotation-scaffold2chr-nextgenomics	catalog;domain-review-approved	Split-scaffold recovery approved in public CC0 validation pack on 2026-08-26
017	python-archive/run_extract_gene_family_info.py	python	integrated	command:extract-gene-family-info	golden-regression;publication-golden	Family expression split
018	python-archive/run_extract_gene_family_matrix.py	python	integrated	command:extract-gene-family-matrix	golden-regression;publication-golden	Coverage-based matrix
019	python-archive/run_extract_longest_pep_from_ensembl_download.py	python	integrated	command:extract-longest-pep	golden-regression;publication-golden	Historical header rule explicit
020	python-archive/run_filter_GeMoMa_AS.py	python	integrated	command:filter-gemoma-as	golden-regression;publication-golden	CDS length filter
021	python-archive/run_filter_GeMoMa_AS_2.py	python	integrated	command:filter-gemoma-as2	golden-regression;publication-golden	Longest CDS isoform
022	python-archive/run_filter_gff_by_ID.py	python	integrated	command:filter-gff-by-id	golden-regression;publication-golden	First attribute token behavior documented
023	python-archive/run_filter_gtf_ctg.py	python	integrated	command:filter-gtf-ctg	golden-regression;publication-golden	Contig exclusion
